SS,Mã hàng,Link Form,"Số
vòng dây ",MSKH,TCCL,"Link
TCCL",Tên khách hàng,"Part
Number",Đối tượng gửi dữ liệu,Nguồn dữ liệu,Yêu cầu đặc biệt khi gửi dữ liệu,"Gửi Lot DAI DIEN: ""DD""
Gửi TOAN BO Lot: ""TB""","Gửi dữ
 liệu [M]","Nơi nhận
dữ liệu","Ngoài đối tượng

VD : 736 KH không cho giảm",Nội dung gửi mail,Địa chỉ gửi mail,DUNG LƯỢNG 1 LẦN GỬI
FC140RD70837D,70837D,XEM,09490,958439,A74534,XEM,SMR AUTOMOTIVE SYSTEM(THAI) LTD,-,,,,-,-,-,,,,
FC140RD70837D,70837D,XEM,,950899Q,A85488,XEM,SMR AUTOMOTIVE SYSTEM(THAI) LTD,-,,,,-,-,-,,,,
FC140RD70837E,70837E,XEM,09490,800136,A74639,XEM,SMR AUTOMOTIVE AUSTRALIA PTY L,-,,,,-,-,-,CP,,,
FC140RD70837F,70837F,XEM,09490,800136,A83464,XEM,SMR AUTOMOTIVE AUSTRALIA PTY L,,,,,-,-,-,CP,,,
FC140RD70837G,70837G,XEM,,950899Q,QS-10-002284,XEM,SMR AUTOMOTIVE SYSTEM(THAI) L,-,MONTH,MAP,,TB,-,THO (KD),,"Subject: Motor outgoing inspection record on January-2025
To: THO- MS.RUNGSUNEE TIANGNGA; MS. CHOTIKARN PHOSUTH; MS. SAKUNPAKPINYO REENLADA; MS. BOONYARAT PONGTAI
Fr: VDM Inspection section – Ly

I send you the outgoing data in shipment on January-2025.
Please see attached file.
If you have any question , please contact to me.
Thanks and best regard.","THO/RUNGSUNEE TIANGNGA <t.rungsunee.wbq@mabuchi-motor.com>; THO/SAKUNPAKPINYO REENLADA <r.sakunpakpinyo.pwe@mabuchi-motor.com>;
 THO/CHOTIKARN PHOSUTH <p.chotikarn.eud@mabuchi-motor.com>; THO/BOONYARAT PONGTAI <b.pongtai.qjf@mabuchi-motor.com>",8.0
FC140RD70838B,70838B,XEM,09490,882050K,A74679,XEM,SMR HYOSANG AUTOMOTIVE LTD,-,MONTH,MAP,,DD,-,KRO,CP,"Subject: Motor outgoing inspection record on January-2025
To: KRO- Ms. We & Ms. Lee
Fr: VDM Inspection section – Ly
I send you the outgoing inspection data to shipment on January-2025.
Please see attached file.
If you have any question, please contact to me.
Thanks and best regard.","KRO/WE HEE SOON(魏希旬) <h.wehs.cqv@mabuchi-motor.com> 
 KRO/LEE HAE IN(李海仁) <h.leehi.urm@mabuchi-motor.com>",8.0
FC140RD70838C,70838C,XEM,09490,882050K,A88490,XEM,SMR HYOSANG AUTOMOTIVE LTD,-,MONTH,MAP,,DD,-,KRO,CP,"Subject: Motor outgoing inspection record on January-2025
To: KRO- Ms. We & Ms. Lee
Fr: VDM Inspection section – Ly
I send you the outgoing inspection data to shipment on January-2025.
Please see attached file.
If you have any question, please contact to me.
Thanks and best regard.","KRO/WE HEE SOON(魏希旬) <h.wehs.cqv@mabuchi-motor.com> 
 KRO/LEE HAE IN(李海仁) <h.leehi.urm@mabuchi-motor.com>",8.0
FC140RD70838E,70838E,XEM,09490,882050K,QS-10-006058,XEM,SMR HYOSANG AUTOMOTIVE LTD.,-,MONTH,MAP,,DD,-,KRO,CP,"Subject: Motor outgoing inspection record on January-2025
To: KRO- Ms. We & Ms. Lee
Fr: VDM Inspection section – Ly
I send you the outgoing inspection data to shipment on January-2025.
Please see attached file.
If you have any question, please contact to me.
Thanks and best regard.","KRO/WE HEE SOON(魏希旬) <h.wehs.cqv@mabuchi-motor.com> 
 KRO/LEE HAE IN(李海仁) <h.leehi.urm@mabuchi-motor.com>",8.0
FC140RE70438F,70438F,XEM,09490,300582N,A79551,XEM,"HONDA LOCK MEXICO, SA DE CV",-,,,,-,-,-,,,,
FC140RE70438F,70438F,XEM,,957456S,A79552,XEM,"HONDA LOCK THAI CO., LTD.",-,,,,-,-,-,AQL,,,
FC140RE70438F,70438F,XEM,,958470,A79553,XEM,"SOJITZ (THAILAND) CO., LTD",-,,,,-,-,-,,,,
FC140RE70438F,70438F,XEM,,981894,A79554,XEM,OLIP SINGAPORE PTE LTD,-,,,,-,-,-,,,,
FC140RE70438F,70438F,XEM,,950204Q,A83449,XEM,"HONDA LOCK THAI CO., LTD.",-,,,,-,-,-,AQL,,,
FC140RE70438F,70438F,XEM,,300012N,A89362,XEM,HONDA LOCK S O PAULO IND.E,-,,,,-,-,-,,,,
FC140RE70438F,70438F,XEM,,950956E,A84628,XEM,"HONDA LOCK THAI CO., LTD.",-,,,,-,-,-,,,,
FC140RE70438G,70438G,XEM,09490,957456S,QS-10-006216,XEM,"HONDA LOCK THAI CO., LTD.",-,,,,-,-,-,AQL,,,
FC140RE70438G,70438G,XEM,,981894,QS-10-006217,XEM,OLIP SINGAPORE PTE LTD,-,,,,-,-,-,,,,
FC140RE70438G,70438G,XEM,,300582N,QS-10-006219,XEM,"HONDA LOCK MEXICO, SA DE CV",-,,,,-,-,-,,,,
FC140RE70438G,70438G,XEM,,950956E,QS-10-006220,XEM,MINEBEA ACCESSSOLUTIONS THAI LTD.,-,MONTH,MAP,,TB,-,THO (KD),,"Subject: Motor outgoing inspection record on January-2025
To: Ms. Rungsunee, Ms. Rachachan; Mr. Thatree Tiaowananon
Fr: VDM Inspection section – Ly

I send you the outgoing data in shipment on January-2025.
Please see attached file.
If you have any question , please contact to me.
Thanks and best regard.","THO/RUNGSUNEE TIANGNGA <t.rungsunee.wbq@mabuchi-motor.com>; THO/RACHACHAN PLIANPENG <r.plianpeng.auj@mabuchi-motor.com>;
 THO/TIAOWANANON THATREE <t.tiaowananon.qth@mabuchi-motor.com>",8.0
FC140RE70438G,70438G,XEM,,950204Q,QS-10-006221,XEM,"HONDA LOCK THAI CO., LTD.",-,,,,-,-,-,,,,
FC140RE70438G,70438G,XEM,,300012N,QS-10-000580,XEM,HONDA LOCK SeO PAULO IND.E,-,,,,-,-,-,,,,
FC140RE70438G,70438G,XEM,,952556Q,QS-10-005569,XEM,OLIP SINGAPORE PTE LTD,-,,,,-,-,-,,,,
FC140RE70438G,70438G,XEM,,955476Q ,QS-10-008184,XEM,MINEBEA ACCESSSOLUTIONS INDONESIA,-,,,,-,-,-,,,,
FC140RE70747F,70747F,XEM,12240,502484U,A72610,XEM,AML SYSTEMS,-,,,,-,-,-,CP,,,
FC140RE70767K,70767K,XEM,09510,550236,A81074,XEM,MAGNA AUTECA GMBH,-,,,,-,-,-,CP,,,
FC140RE70767K,70767K,XEM,,882134K,A81855,XEM,MAGNA AUTOMOTIVE KOREA LIMITED,-,MONTH,MAP,,TB,-,KRO,Gửi toàn lót,"Subject: Motor outgoing inspection record on January-2025
To: KRO- Ms. We & Ms. Lee
Fr: VDM Inspection section – Ly
I send you the outgoing inspection data to shipment on January-2025.
Please see attached file.
If you have any question, please contact to me.
Thanks and best regard.","KRO/WE HEE SOON(魏希旬) <h.wehs.cqv@mabuchi-motor.com> 
 KRO/LEE HAE IN(李海仁) <h.leehi.urm@mabuchi-motor.com>",8.0
FC140RE70767K,70767K,XEM,,884122C,A82396,XEM,MAGNA MIRRORS (TAICANG) AUTOMOTI,-,MONTH,MAP,,DD,-,MCH-S (SHO),,"Subject: Motor outgoing inspection record on January-2025
To:  MCH-S / Ms. CHEN JUANJUAN, Mr. LUJUN
Fr: VDM Inspection section – Ly

I send you the outgoing inspection data to shipment on January-2025.
Please see attached file.
If you have any question, please contact to me.
Thanks and best regard.","MCH-S/CHEN JUANJUAN(陳娟娟) <j.chenj.ukg@mabuchi-motor.com>; 
MCH-S/LU JUN(陸鈞) <j.lujun.enx@mabuchi-motor.com>",8.0
FC140RE70767L,70767L,XEM,09510,882134K,A83404,XEM,MAGNA AUTOMOTIVE KOREA LIMITED,-,MONTH,MAP,,TB,-,KRO,Gửi toàn lót,"Subject: Motor outgoing inspection record on January-2025
To: KRO- Ms. We & Ms. Lee
Fr: VDM Inspection section – Ly
I send you the outgoing inspection data to shipment on January-2025.
Please see attached file.
If you have any question, please contact to me.
Thanks and best regard.","KRO/WE HEE SOON(魏希旬) <h.wehs.cqv@mabuchi-motor.com> 
 KRO/LEE HAE IN(李海仁) <h.leehi.urm@mabuchi-motor.com>",8.0
FC140RE70767M,70767M,XEM,09510,882134K,A87863,XEM,MAGNA AUTOMOTIVE KOREA LIMITED,-,MONTH,MAP,,TB,-,KRO,Gửi toàn lót,"Subject: Motor outgoing inspection record on January-2025
To: KRO- Ms. We & Ms. Lee
Fr: VDM Inspection section – Ly
I send you the outgoing inspection data to shipment on January-2025.
Please see attached file.
If you have any question, please contact to me.
Thanks and best regard.","KRO/WE HEE SOON(魏希旬) <h.wehs.cqv@mabuchi-motor.com> 
 KRO/LEE HAE IN(李海仁) <h.leehi.urm@mabuchi-motor.com>",8.0
FC140RE70767N,70767N,XEM,09510,550236,A88584,XEM,MAGNA AUTECA GMBH,-,,,,-,-,-,,,,
FC140RE70767N,70767N,XEM,09510,884122C,A89271,XEM,MAGNA MIRRORS(TAICANG) AUTOMOTI,-,MONTH,MAP,,DD,-,MCH-S (SHO),,"Subject: Motor outgoing inspection record on January-2025
To:  MCH-S / Ms. CHEN JUANJUAN, Mr. LUJUN
Fr: VDM Inspection section – Ly

I send you the outgoing inspection data to shipment on January-2025.
Please see attached file.
If you have any question, please contact to me.
Thanks and best regard.","MCH-S/CHEN JUANJUAN(陳娟娟) <j.chenj.ukg@mabuchi-motor.com>; 
MCH-S/LU JUN(陸鈞) <j.lujun.enx@mabuchi-motor.com>",8.0
FC140RE70767P,70767P,XEM,09510,550236,A90507,XEM,MAGNA AUTECA GMBH,-,,,,-,-,-,,,,
FC140RE70767P,70767P,XEM,,884122C,A90510,XEM,MAGNA MIRRORS(TAICANG) AUTOMOTI,-,MONTH,MAP,,DD,-,MCH-S (SHO),,"Subject: Motor outgoing inspection record on January-2025
To:  MCH-S / Ms. CHEN JUANJUAN, Mr. LUJUN
Fr: VDM Inspection section – Ly

I send you the outgoing inspection data to shipment on January-2025.
Please see attached file.
If you have any question, please contact to me.
Thanks and best regard.","MCH-S/CHEN JUANJUAN(陳娟娟) <j.chenj.ukg@mabuchi-motor.com>; 
MCH-S/LU JUN(陸鈞) <j.lujun.enx@mabuchi-motor.com>",8.0
FC140RE70767Q,70767Q,XEM,09510,550236,QS-10-002049,XEM,MAGNA AUTECA GMBH,-,,,,-,-,-,,,,
FC140RE70767R,70767R,XEM,09510,884122C,QS-10-002164,XEM,MAGNA MIRRORS (TAICANG) AUTOMOTI,-,MONTH,MAP,,DD,-,MCH-S (SHO),,"Subject: Motor outgoing inspection record on January-2025
To:  MCH-S / Ms. CHEN JUANJUAN, Mr. LUJUN
Fr: VDM Inspection section – Ly

I send you the outgoing inspection data to shipment on January-2025.
Please see attached file.
If you have any question, please contact to me.
Thanks and best regard.","MCH-S/CHEN JUANJUAN(陳娟娟) <j.chenj.ukg@mabuchi-motor.com>; 
MCH-S/LU JUN(陸鈞) <j.lujun.enx@mabuchi-motor.com>",8.0
FC140RE70768K,70768K,XEM,09510,550236,A81073,XEM,MAGNA AUTECA GMBH,-,,,,-,-,-,CP,,,
