SS,Mã hàng,MSKH,Đối tượng gửi dữ liệu,Nguồn dữ liệu,Yêu cầu đặc biệt khi gửi dữ liệu,Part Number,Gui_DL,Nơi nhận dữ liệu,DUNG LƯỢNG 1 LẦN GỬI,Status
FC140RD70837G,70837G,950899Q,MONTH,MAP,,-,TB,THO (KD),8.0,
FC140RD70838B,70838B,882050K,MONTH,MAP,,-,DD,KRO,8.0,Không có dữ liệu
FC140RD70838C,70838C,882050K,MONTH,MAP,,-,DD,KRO,8.0,Không có dữ liệu
FC140RD70838E,70838E,882050K,MONTH,MAP,,-,DD,KRO,8.0,Đã xác nhận
FC140RE70438G,70438G,950956E,MONTH,MAP,,-,TB,THO (KD),8.0,
FC140RE70767K,70767K,882134K,MONTH,MAP,,-,TB,KRO,8.0,
FC140RE70767K,70767K,884122C,MONTH,MAP,,-,DD,MCH-S (SHO),8.0,Không có dữ liệu
FC140RE70767L,70767L,882134K,MONTH,MAP,,-,TB,KRO,8.0,
FC140RE70767M,70767M,882134K,MONTH,MAP,,-,TB,KRO,8.0,
FC140RE70767N,70767N,884122C,MONTH,MAP,,-,DD,MCH-S (SHO),8.0,Không có dữ liệu
FC140RE70767P,70767P,884122C,MONTH,MAP,,-,DD,MCH-S (SHO),8.0,Không có dữ liệu
FC140RE70767R,70767R,884122C,MONTH,MAP,,-,DD,MCH-S (SHO),8.0,Đã xác nhận
FC140RE70768K,70768K,882134K,MONTH,MAP,,-,TB,KRO,8.0,
FC140RE70768K,70768K,884122C,MONTH,MAP,,-,DD,MCH-S (SHO),8.0,Không có dữ liệu
FC140RE70768L,70768L,882134K,MONTH,MAP,,-,TB,KRO,8.0,
FC140RE70768M,70768M,882134K,MONTH,MAP,,-,TB,KRO,8.0,
FC140RE70768N,70768N,884122C,MONTH,MAP,,-,DD,MCH-S (SHO),8.0,Không có dữ liệu
FC140RE70768P,70768P,884122C,MONTH,MAP,,-,DD,MCH-S (SHO),8.0,Không có dữ liệu
FC140RE70768R,70768R,884122C,MONTH,MAP,,-,DD,MCH-S (SHO),8.0,Đã xác nhận
FC140RE70773C,70773C,940775,MONTH,MAP,,-,DD,SPO,8.0,Không có dữ liệu
FC140RE70773C,70773C,974204T,MONTH,MAP,,-,DD,TWM,8.0,Không có dữ liệu
FC140RE70773D,70773D,940775,MONTH,MAP,,-,DD,SPO,8.0,Không có dữ liệu
FC140RE70773E,70773E,974204T,MONTH,MAP,,-,DD,TWM,8.0,Không có dữ liệu
FC140RE70773F,70773F,940775,MONTH,MAP,,-,DD,SPO,8.0,Không có dữ liệu
FC140RE70773G,70773G,974204T ,MONTH,MAP,,-,DD,TWM,8.0,Đã xác nhận
FC140RE70773H,70773H,940775,MONTH,MAP,,-,DD,SPO,8.0,Không có dữ liệu
FC140RE70781F,70781F,882134K,MONTH,MAP,,-,TB,KRO,8.0,
FC140RE70781G,70781G,886861,MONTH,MAP,,-,DD,MCH-S (SHO),8.0,Không có dữ liệu
FC140RE70781G,70781G,882134K,MONTH,MAP,,-,TB,KRO,8.0,
FC140RE70781H,70781H,882134K,MONTH,MAP,,-,TB,KRO,8.0,
FC140RE70781J,70781J,882134K,MONTH,MAP,,-,TB,KRO,8.0,
FC140RE70781K,70781K,886861,MONTH,MAP,,-,DD,MCH-S (SHO),8.0,Không có dữ liệu
FC140RE70782F,70782F,882134K,MONTH,MAP,,-,TB,KRO,8.0,
FC140RE70782G,70782G,886861,MONTH,MAP,,-,DD,MCH-S (SHO),8.0,Không có dữ liệu
FC140RE70782G,70782G,882134K,MONTH,MAP,,-,TB,KRO,8.0,
FC140RE70782H,70782H,882134K,MONTH,MAP,,-,TB,KRO,8.0,
FC140RE70782J,70782J,882134K,MONTH,MAP,,-,TB,KRO,8.0,
FC140RE70782K,70782K,886861,MONTH,MAP,,-,DD,MCH-S (SHO),8.0,Không có dữ liệu
FC140RE74333A,74333A,883322,MONTH,MAP,,-,DD,MCH-S (SHO),8.0,Không có dữ liệu
FC140RE74424D,74424D,882134K,MONTH,MAP,,-,TB,KRO,8.0,
FC140RE74424E,74424E,882134k,MONTH,MAP,,-,TB,KRO,8.0,
FC140RE74424E,74424E,884122C,MONTH,MAP,,-,DD,MCH-S (SHO),8.0,Không có dữ liệu
FC140RE74424F,74424F,884122C,MONTH,MAP,,-,DD,MCH-S (SHO),8.0,Không có dữ liệu
FC140RE74424F,74424F,882100K,MONTH,MAP,,-,DD,KRO,8.0,Không có dữ liệu
FC140RE74424G,74424G,884122C,MONTH,MAP,,-,DD,MCH-S (SHO),8.0,Không có dữ liệu
FC140RE74424J,74424J,884122C,MONTH,MAP,,-,DD,MCH-S (SHO),8.0,Đã xác nhận
FC140RE74425D,74425D,882134K,MONTH,MAP,,-,TB,KRO,8.0,
FC140RE74425E,74425E,882134K,MONTH,MAP,,-,TB,KRO,8.0,
FC140RE74425E,74425E,884122C,MONTH,MAP,,-,DD,MCH-S (SHO),8.0,Không có dữ liệu
FC140RE74425F,74425F,884122C,MONTH,MAP,,-,DD,MCH-S (SHO),8.0,Không có dữ liệu
FC140RE74425F,74425F,882100K,MONTH,MAP,,-,DD,KRO,8.0,Không có dữ liệu
FC140RE74425G,74425G,884122C,MONTH,MAP,,-,DD,MCH-S (SHO),8.0,Không có dữ liệu
FC140RE74425J,74425J,884122C,MONTH,MAP,,-,DD,MCH-S (SHO),8.0,Đã xác nhận
FC140RM70858E,70858E,882050K,MONTH,MAP,,-,DD,KRO,8.0,Không có dữ liệu
FC140RM70858E,70858E,880450C,MONTH,MAP,,-,DD,SMR,8.0,Không có dữ liệu
FC140RM70858G,70858G,882050K,MONTH,MAP,,-,DD,KRO,8.0,Không có dữ liệu
FC140RM70858J,70858J,882050K,MONTH,MAP,,-,DD,KRO,8.0,Không có dữ liệu
